,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
660,30,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,950.984164
666,40,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,855.0442537
672,50,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
678,20,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1501.904301
684,30,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1118.956575
690,40,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,980.6157075
696,50,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,834.0409745
702,20,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1688.722394
708,30,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1198.162278
714,40,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1046.159444
720,50,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,904.3900346
726,20,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1990.280575
732,30,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1457.63097
738,40,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1163.684926
744,50,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1060.008275
750,20,65,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,988.152784
756,30,65,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
762,40,65,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
768,50,65,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
774,20,75,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1127.15103
780,30,75,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,868.0497881
786,40,75,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
792,50,75,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
798,20,85,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1387.48151
804,30,85,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1130.284505
810,40,85,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
816,50,85,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
822,20,95,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1744.580847
828,30,95,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1337.468982
834,40,95,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1067.282574
840,50,95,DS10,2%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
846,30,65,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
852,40,65,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
858,50,65,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
864,20,75,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
870,30,75,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
876,40,75,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
882,50,75,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
888,20,85,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
894,30,85,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
900,40,85,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
906,50,85,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
912,20,95,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
918,30,95,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
924,40,95,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
930,50,95,DS30,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
